County,City,Town,Address,Hospital_Name,Hospital_Type,Latitude,Longitude
전라남도,순천시,장천동,57번지 6호 6호,순천중앙병원,의사,34.951355,127.4841601
전라남도,무안군,무안읍,성동리165번지,대송의료재단무안병원,종합병원,34.9920221,126.4894408
전라남도,무안군,무안읍,성동리 165번지,의료법인대송의료재단 무안병원,의사,34.9920221,126.4894408
경상북도,포항시,남구,오천읍 구정리 4번지 3호,해군포항병원,병원,35.9813209,129.415351
경상북도,상주시,남성동,33번지 27호 27호,상주적십자병원,,36.4145409,128.1560915
경상북도,김천시,응명동,957,의료법인 영은의료재단 김천신경정신병원,정신병원,36.1483356,128.1148326
경상북도,김천시,응명동,957번지,의료법인영은의료재단김천신경정신병원,,36.1483356,128.1148326
경상남도,진주시,장대동,100번지 10호,반도병원,병원,35.1919106,128.0884203
경상남도,창원시,서상동,310-1,윤병원,병원,35.2619285,128.6206273
경상남도,진주시,충무공동,69-1 한일병원,한일병원,종합병원,35.1667357,128.1286466
전라남도,고흥군,고흥읍,남계리 186,의료법인영성의료재단고흥종합병원,종합병원,34.6210995,127.2939926
경상북도,포항시,남구,대도동 94-5,포항세명기독병원,종합병원,36.0175673,129.3619494
경상북도,포항시,남구,대도동 94번지 5호 5호,의료법인한성재단포항세명기독병원,의사,36.018003,129.3611374
경상남도,합천군,대양면,정양리 587번지 5호,합천고려병원,정신병원,35.5522305,128.1616979
전라북도,전주시,덕진구,덕진동1가 1174번지 8호,성모요양병원,요양병원(일반요양병원),35.8363814,127.1230026
경상북도,경주시,석장동,1090번지 1호 1호,동국대학교의과대학경주병원,,35.8588779,129.1953072
경상북도,경주시,석장동,1090번지 1호,동국대학교 의과대학 경주병원,종합병원,35.8588779,129.1953072
전라북도,전주시,완산구,중화산동2가 5번지,우석대부속전주한방병원,한방병원,35.8174569,127.1285409
경상북도,경주시,서부동,147번지 2호,계명대학교 경주동산병원,병원,35.845509,129.2093411
경상남도,창원시,신촌동,30,홍익재활병원,병원,35.1968335,128.6248008
전라남도,강진군,강진읍,서성리 305번지 26호 26호,전라남도 강진의료원,의사,34.6374092,126.7567994
전라남도,강진군,강진읍,서성리 305번지 1호,전라남도강진의료원,병원,34.6374092,126.7567994
전라북도,전주시,덕진구,덕진동2가 142번지 1호,원광대학교전주한방병원,한방병원,35.8475315,127.1162139
경상북도,예천군,예천읍,동본리 460번지 2호,의료법인 서준의료재단 예천권병원,병원,36.6577819,128.4592342
경상남도,양산시,주진동,347-1,양산병원,정신병원,35.4008733,129.1476787
경상북도,봉화군,봉화읍,내성리 426번지 6호,봉화해성병원,병원,36.8918144,128.7346387
경상북도,청도군,화양읍,범곡리 100번지 1호 1호,의료법인대남의료재단청도대남병원,,35.6489717,128.7369853
전라북도,부안군,부안읍,선은리 55번지,의료법인 혜성병원,병원,35.7326254,126.7461894
전라남도,진도군,진도읍,남동리 523-1,진도한국병원,병원,34.4825691,126.2641026
경상남도,남해군,남해읍,아산리 170번지,의료법인 이도의료재단 남해병원,병원,34.8462942,127.8943748
전라남도,장흥군,장흥읍,건산리 383번지 5호,의료법인 우범의료재단 장흥종합병원,종합병원,34.6775021,126.9103227
전라남도,화순군,화순읍,삼천리 637번지,화순중앙병원,병원,35.0585119,126.981001
전라북도,고창군,고창읍,읍내리 663번지,의료법인석천재단고창병원,종합병원,35.4363731,126.6934503
경상북도,칠곡군,왜관리,,의료법인왜관병원,병원,35.9819,128.4025
전라남도,영광군,영광읍,남천리 212번지,의료법인거명의료재단 영광기독병원,,35.2749516,126.5109243
전라북도,남원시,고죽동,200번지,전북특별자치도 남원의료원,종합병원,35.4319613,127.4081942
경상북도,영양군,영양읍,서부리 100번지 1호 1호,의료법인명성의료재단영양병원,,36.6630108,129.0890615
전라남도,목포시,석현동,45번지,국립목포병원,병원,34.8276242,126.4375144
전라남도,나주시,성북동,100번지 7호 나주종합병원 7호,나주종합병원,의사,35.0363443,126.7222322
전라남도,광양시,광양읍,칠성리 517,의료법인광양의료재단 광양병원,병원,34.9712225,127.5820927
경상남도,진주시,칠암동,90번지,경상국립대학교병원,종합병원,35.1771531,128.0953978
전라남도,고흥군,도양읍,소록리 202번지 4호 4호,국립소록도병원 ,,34.5139402,127.1250659
경상북도,영주시,영주1동,547-2,영주기독병원,병원,36.8254604,128.6211109
경상남도,사천시,향촌동,441번지 5호,의료법인 덕산의료재단 한마음병원,정신병원,34.9351996,128.0974543
경상남도,김해시,부원동,608번지 4호,의료법인환명의료재단 금강병원,병원,35.2284664,128.8825805
전라남도,순천시,조례동,544,근로복지공단 순천병원,종합병원,34.9609715,127.5251706
경상남도,진주시,칠암동,485번지 2호,의료법인 문병욱의료재단 진주고려병원,종합병원,35.1786146,128.0915633
전라북도,익산시,신동,272번지,원광대학교치과병원,치과병원,35.9678447,126.9580914
전라남도,여수시,광무동,,여수전남병원,종합병원,34.7491,127.7223
전라남도,영광군,영광읍,단주리 275번지,영광종합병원,의사,35.2844209,126.4991331
경상남도,함양군,함양읍,용평리 613-6,함양성심병원,병원,35.5204439,127.7292783
전라남도,목포시,행복동2가,6번지,목포노동병원,병원,34.7869337,126.3860667
전라남도,목포시,행복동2가,6번지,의료법인항운의료재단 목포노동병원,의사,34.7869337,126.3860667
