County,City,Town,Address,Store_Name,Store_Type,Latitude,Longitude
부산광역시,영도구,봉래동5가,43번지,(주)서원유통 탑마트 영도봉래점,복합쇼핑몰,35.0942724,129.0494027
충청남도,천안시,서북구,쌍용동 1367,맘마마트 천안점,대형마트,36.8001727,127.1167572
경기도,화성시,반송동,98번지,홈플러스(주)화성동탄점,대형마트,37.2027953,127.0684582
제주특별자치도,서귀포시,안덕면,서광리 산 24,제주 프리미엄 전문점,전문점,33.3071957,126.3174175
충청북도,청주시,흥덕구,화계동 196,다농엘마트,대형마트,36.6612775,127.4368111
인천광역시,연수구,송도동,93,인천 스타트업파크,그 밖의 대규모점포,37.3878473,126.6398574
대구광역시,달성군,구지면,응암리 1251 대구국가산단 반도유보라 아이비파크 2,롯데프레시 대구구지점,쇼핑센터,35.6578842,128.4218074
서울특별시,영등포구,양평동1가,247 영등포 중흥 S-CLASS,영등포 중흥 에스클래스,그 밖의 대규모점포,37.5234025,126.8862752
충청북도,청주시,청원구,오창읍 창리 64-4,주식회사 아산마트오창점,대형마트,36.7395591,127.4506585
전라남도,무안군,일로읍,오룡리 6 호반써밋APT,롯데슈퍼오룡가맹점,그 밖의 대규모점포,34.8072929,126.4884328
인천광역시,미추홀구,도화동,1002 더샵 인천스카이타워 2단지,앨리웨이 인천,그 밖의 대규모점포,37.4691331,126.6634742
서울특별시,용산구,한강로3가,2-8,(주)서부티엔디,전문점,37.5328095,126.9623836
울산광역시,북구,진장동,285-1 KCC진장사옥,주식회사 케이씨씨글라스 홈씨씨울산점,복합쇼핑몰,35.5742469,129.3593821
전북특별자치도,전주시,덕진구,장동 1111 전북혁신도시 더 M city 센텀,전북혁신도시 대방디엠시티,그 밖의 대규모점포,35.8390163,127.0601520
서울특별시,송파구,가락동,191-5,롯데프레시송파가락가맹점,구분없음,37.4954197,127.1344896
서울특별시,송파구,가락동,479 헬리오시티,이마트에브리데이 송파점,구분없음,37.4977248,127.1070320
인천광역시,남동구,논현동,111-168 쌍둥이네,소래포구어시장,그 밖의 대규모점포,37.3979452,126.7392917
세종특별자치시,금남면,용포리,213-1,노브랜드 대평시장점,복합쇼핑몰,36.4688870,127.2812073
서울특별시,구로구,구로동,573,이랜드리테일 NC구로점,복합쇼핑몰,37.5011880,126.8828440
경기도,시흥시,능곡동,235-1 시흥 플랑드르,시흥플랑드르,그 밖의 대규모점포,37.3712003,126.8069678
경기도,하남시,덕풍동,736번지 하남풍산지구 이마트,이마트 하남점,대형마트,37.5527584,127.2053735
경기도,군포시,금정동,916 힐스테이트 금정역,힐스테이트 금정역 상업시설,구분없음,37.3723276,126.9448583
서울특별시,양천구,목동,966번지 목동에버하임,목동에버하임,그 밖의 대규모점포,37.5465991,126.8706939
경기도,화성시,오산동,967-157 동탄역 롯데캐슬,롯데백화점 동탄점,백화점,37.2003816,127.0973188
경상남도,진주시,인사동,3번지,(주)이마트 진주점,대형마트,35.1915891,128.0774185
경상남도,통영시,광도면,죽림리 1566번지 2호 이마트통영점,(주)이마트 통영점,쇼핑센터,34.8879109,128.4174753
강원특별자치도,강릉시,주문진읍,주문리 312번지 91호 주문진수산시장,노브랜드 주문진수산시장점,그 밖의 대규모점포,37.8941551,128.8283611
강원특별자치도,춘천시,퇴계동,381번지 1호 롯데슈퍼,롯데슈퍼 춘천점,구분없음,37.8603510,127.7286337
경상남도,창원시,의창구,중동 785번지 창원중동유니시티2단지,(주)지에스리테일 창원유니시티점,대형마트,35.2563556,128.6269390
인천광역시,연수구,청학동,502번지 4호 롯데마트 연수점,롯데쇼핑(주) 롯데마트 연수점,대형마트,37.4160339,126.6741199
경기도,남양주시,다산동,6141번지 다산진건 자족시설용지 1BL 판매시설,현대프리미엄아울렛 SPACE1,쇼핑센터,37.6161020,127.1527218
경상북도,문경시,점촌동,195번지 9호,노브랜드 문경중앙시장점,복합쇼핑몰,36.5944126,128.1971912
충청북도,충주시,대소원면,완오리 1198 홈마트,홈마트,대형마트,37.0013294,127.8351220
경상남도,통영시,무전동,1069호,롯데쇼핑(주)롯데마트통영점,대형마트,34.8607183,128.4281991
세종특별자치시,어진동,510번지,엠브릿지,엠브릿지,그 밖의 대규모점포,36.5027371,127.2579948
서울특별시,송파구,삼전동,9번지 제이 플레이스,홈플러스 익스프레스 삼전역점,복합쇼핑몰,37.5042436,127.0898666
대전광역시,유성구,봉명동,549-11 골든하이아울렛,프리미엄아울렛 골든하이,복합쇼핑몰,36.3536796,127.3440151
대전광역시,유성구,용산동,579번지 현대프리미엄아울렛 대전점,현대프리미엄아울렛 대전점,쇼핑센터,36.4239095,127.3986899
경상북도,경주시,용강동,425-1,노브랜드 경주 용강점,그 밖의 대규모점포,35.8810529,129.2303125
서울특별시,영등포구,여의도동,22번지,THE HYUNDAI SEOUL,백화점,37.5260578,126.9282985
경기도,의왕시,학의동,1039 롯데프리미엄아울렛 타임빌라스,롯데쇼핑(주) 프리미엄아울렛 의왕점,쇼핑센터,37.3759865,127.0095466
경기도,용인시,기흥구,고매동 271번지,리빙파워센터,전문점,37.2234152,127.1142482
경기도,안산시,단원구,원곡동 846번지 3호 라성호텔,라성프라자,그 밖의 대규모점포,37.3283618,126.8017608
경상북도,문경시,모전동,862번지,노브랜드문경모전점,그 밖의 대규모점포,36.5858357,128.1897087
경기도,수원시,영통구,원천동 589번지 광교중흥에스클래스,중흥S클래스,그 밖의 대규모점포,37.2825202,127.0574342
경기도,화성시,송동,694 동탄린스트라우스더레이크,레이크꼬모,그 밖의 대규모점포,37.1713241,127.1049809
경상남도,김해시,삼방동,175번지 홈플러스,일등마트,그 밖의 대규모점포,35.2457475,128.9080810
경상남도,창원시,진해구,자은동 143-1,노브랜드 진해자은점,그 밖의 대규모점포,35.1551322,128.7127169
서울특별시,중구,산림동,207번지 1호 세운청계상가,청계상가,그 밖의 대규모점포,37.5680551,126.9953665
대전광역시,중구,산성동,284번지 2호,노브랜드 대전중구산성시장점,구분없음,36.3061103,127.3871126
인천광역시,남동구,만수동,1082번지 창대장터상가,노브랜드인천장승백이시장점,구분없음,37.4469468,126.7355966
인천광역시,남동구,만수동,1082번지 창대장터상가,노브랜드 인천장승백이시장점,구분없음,37.4469468,126.7355966
충청북도,청주시,청원구,내덕동 201번지 1호,원더아리아,쇼핑센터,36.6559786,127.4902426
대구광역시,중구,공평동,58번지 6호,태왕스파크,그 밖의 대규모점포,35.8692533,128.5988901
서울특별시,종로구,낙원동,288번지 낙원상가,낙원상가,그 밖의 대규모점포,37.5722238,126.9876399
경상남도,창원시,마산합포구,우산동 99,노브랜드 현동점 주식회사,그 밖의 대규모점포,35.1516909,128.5525631
강원특별자치도,춘천시,중앙로3가,61번지 농협중앙회강원지역본부,하나로마트 강원지역본부점,구분없음,37.8767112,127.7236075
경기도,안양시,만안구,안양동 88번지 1호,(주)엔터식스패션쇼핑몰 안양점,백화점,37.3890780,126.9127841
