시도,구분,주소,연간_임대료(원),면적(㎡),지목
충청북도,임대-수탁,충청북도 괴산군 청천면 고성리 295-1,"150,000",922,전
충청북도,임대-수탁,충청북도 괴산군 청천면 고성리 302-1,"100,000",585,전
충청북도,임대-수탁,충청북도 괴산군 청천면 금평리 42-19,"1,200,000","4,987",전
충청북도,임대-수탁,충청북도 괴산군 청천면 금평리 42-22,"200,000",692,전
충청북도,임대-수탁,충청북도 괴산군 청천면 금평리 42-20,"1,000,000","4,221",전
충청북도,임대-수탁,충청북도 괴산군 청천면 덕평리 717,"400,000","1,724.90",답
충청북도,임대-수탁,충청북도 괴산군 청천면 삼락리 6,"660,000","1,827",전
충청북도,임대-수탁,충청북도 괴산군 청천면 삼송리 448,"300,000","1,408",답
충청북도,임대-수탁,충청북도 괴산군 청천면 송면리 190-5,"200,000","2,489",전
충청북도,임대-수탁,충청북도 괴산군 청천면 여사왕리 105,"150,000","3,028",전
충청북도,임대-수탁,충청북도 괴산군 청천면 지촌리 112,"250,000","1,096",전
충청북도,임대-수탁,충청북도 괴산군 청천면 지촌리 155,"480,000","2,126",전
충청북도,임대-수탁,충청북도 괴산군 청천면 지촌리 195,"770,000","3,413",전
충청북도,임대-수탁,충청북도 괴산군 칠성면 비도리 192,"230,000","2,238",답
충청북도,임대-수탁,충청북도 괴산군 칠성면 사은리 912,"200,000","4,843",전
충청북도,임대-수탁,충청북도 괴산군 칠성면 외사리 286-1,"300,000","1,604",전
충청북도,임대-수탁,충청북도 단양군 가곡면 가대리 657,"177,000","1,761",전
충청북도,임대-수탁,충청북도 단양군 단성면 가산리 627-3,"100,000","1,918",전
충청북도,임대-수탁,충청북도 단양군 단성면 양당리 78,"30,000",958,전
충청북도,임대-수탁,충청북도 단양군 단성면 양당리 47,"100,000","3,488",전
충청북도,임대-수탁,충청북도 단양군 단성면 양당리 76,"40,000","1,345",전
충청북도,임대-수탁,충청북도 단양군 단성면 양당리 75-1,"100,000","2,317",전
충청북도,임대-수탁,충청북도 단양군 단성면 외중방리 231,"20,000",179,과수원
충청북도,임대-수탁,충청북도 단양군 단성면 외중방리 232,"100,000","1,266",과수원
충청북도,임대-수탁,충청북도 단양군 대강면 신구리 8,"70,000",667,전
충청북도,임대-수탁,충청북도 단양군 대강면 신구리 30,"330,000","3,259",전
충청북도,임대-수탁,충청북도 단양군 매포읍 삼곡리 271,"100,000","1,850",답
충청북도,임대-수탁,충청북도 단양군 어상천면 연곡리 181-4,"90,000",291,전
충청북도,임대-수탁,충청북도 단양군 어상천면 연곡리 181-5,"180,000",602,전
충청북도,임대-수탁,충청북도 단양군 영춘면 사이곡리 378,"210,000","2,106",전
충청북도,임대-수탁,충청북도 단양군 영춘면 사이곡리 49,"53,000",526,전
