School_Name,School_Type,County,City,Town,Address,Latitude,Longitude
충덕중학교,중학교,전라남도,여수시,덕충동,429,34.75489021,127.7464736
심원중학교,중학교,전북특별자치도,고창군,심원면,연화리 664-9,35.52028349,126.5485883
오름중학교,중학교,제주특별자치도,제주시,도련일동,1891,33.51667441,126.5844702
당정중학교,중학교,경기도,군포시,당정동,566,37.34871302,126.9588427
관양중학교,중학교,경기도,안양시,동안구,관양동 1407-2,37.40568279,126.9605487
방화중학교,중학교,서울특별시,강서구,방화동,636-1,37.56433471,126.8071069
대전새미래중학교,중학교,대전광역시,유성구,지족동,1045,36.37923467,127.3051005
성재중학교,중학교,서울특별시,강서구,가양동,1463,37.56944938,126.8452953
선화여자중학교,중학교,부산광역시,동구,초량동,827-6,35.1210635,129.0329123
하동중학교,중학교,경상남도,하동군,하동읍,광평리 220-4,35.062148,127.7479205
연북중학교,중학교,서울특별시,서대문구,연희동,141,37.577581,126.9384801
남춘천여자중학교,중학교,강원특별자치도,춘천시,온의동,321-2번지,37.8589848,127.720999
성남여자중학교,중학교,경기도,성남시,수정구,신흥동 47-1,37.45023391,127.1427174
전주곤지중학교,중학교,전북특별자치도,전주시,완산구,동완산동 395,35.81056438,127.143278
원당중학교,중학교,충청남도,당진시,원당동,1224,36.90004426,126.6407478
부산동중학교,중학교,부산광역시,부산진구,전포동,449-8,35.15326954,129.0712527
내면중학교,중학교,강원특별자치도,홍천군,내면,창촌리 1655-3,37.766466,128.3877386
이화중학교,중학교,울산광역시,북구,중산동,803,35.65832707,129.3391358
월봉중학교,중학교,광주광역시,광산구,산월동,884-3,35.20943732,126.8489785
율현중학교,중학교,경기도,수원시,팔달구,화서동 729,37.28612119,126.9826535
휘경중학교,중학교,서울특별시,동대문구,휘경동,286-66,37.58709299,127.0617461
성화중학교,중학교,대구광역시,북구,복현동,540-1,35.9032298,128.620265
문곡중학교,중학교,강원특별자치도,정선군,남면,문곡리 317-7 번지,37.26589652,128.7397508
경구중학교,중학교,대구광역시,중구,남산동,2380-5,35.85851368,128.5835008
불곡중학교,중학교,경기도,성남시,분당구,구미동 92,37.34745932,127.119915
신곡중학교,중학교,부산광역시,해운대구,좌동,1329,35.16814646,129.1818773
서울문영여자중학교,중학교,서울특별시,관악구,봉천동,1695,37.47290457,126.9509181
월서중학교,중학교,대구광역시,달서구,월성동,1317,35.81972903,128.5264911
화성중학교,중학교,충청남도,청양군,화성면,구재리 156-3,36.43693383,126.7220449
도원중학교,중학교,대구광역시,달서구,도원동,1452,35.80619402,128.5450006
신서중학교,중학교,서울특별시,양천구,신정동,310-6,37.51596644,126.8550164
성수중학교,중학교,전북특별자치도,임실군,성수면,양지리 257,35.6297434,127.3358183
남성중학교,중학교,전북특별자치도,익산시,신동,156-4,35.95635944,126.965918
대전신계중학교,중학교,대전광역시,서구,복수동,451,36.30195661,127.3770392
청라중학교,중학교,충청남도,보령시,청라면,의평리 206,36.38888916,126.6622666
초지중학교,중학교,경기도,안산시,단원구,초지동 723-2,37.3120993,126.8179787
설악중학교,중학교,강원특별자치도,속초시,교동,780-5번지,38.20550398,128.5790108
여수종고중학교,중학교,전라남도,여수시,동산동,산12-4,34.74436688,127.7363763
