Local_Store_Name,County,City,Address,Latitude,Longitude
북창원농협화천지점 로컬푸드직매장,경상남도,창원시,의창구 북면 천주로 503,35.3013888,128.6016641
화순농협 로컬푸드직매장,전라남도,화순군,화순읍 쌍충로 74,35.0587937,126.9822225
청남농협 로컬푸드직매장,충청북도,청주시,상당구 남일면 단재로 708(고은리),36.568624,127.5101592
진주중부농협 로컬푸드 1호점,경상남도,진주시,진산로 256(장재동),35.2097042,128.1026906
진주중부농협 로컬푸드 3호점,경상남도,진주시,충의로 119(충무공동),35.1746096,128.1527742
순천로컬푸드 순천만국가정원점,전라남도,순천시,국가정원 1호길 162-11,34.9302348,127.5106647
장성군 남면농협 로컬푸드 직매장,전라남도,장성군,진원면 하서대로 333-2,35.2558601,126.8108326
청도농협 로컬푸드 직매장,경상북도,청도군,화양읍 온천길 12,35.6891806,128.7203208
안성맞춤 로컬푸드 직매장,경기도,안성시,공도읍 공도로 51-9 안성맞춤로컬푸드 직매장,36.999278,127.1659531
모현농협 로컬푸드 직매장,경기도,용인시,처인구 모현읍 백옥대로 2373,37.3355713,127.248795
원주원예농협로컬푸드 직매장(봉화산점),강원도,원주시,로아노크로 28,37.3427133,127.9261105
금마농협 하나로마트 로컬푸드 직매장,충청남도,홍성군,금마면 봉수산로 863,36.6259915,126.7352789
정읍농협  로컬푸드 직매장 수성점,전라북도,정읍시,수성택지5길 24-6,35.5806903,126.8556385
경주농특산물판매장 서울롯데월드몰점,서울특별시,송파구,올림픽로 300,37.5125702,127.1025625
대저농협로컬푸드직매장,부산광역시,강서구,대저로 229,35.2148107,128.9776277
강동구청 싱싱드림,서울특별시,강동구,동남로 922,37.5561525,127.1569314
오늘의 농부,강원도,철원군,동송읍 태봉로 1825,38.1854214,127.2874038
고서농협로컬푸드직매장,전라남도,담양군,고서면 가사문학로 342-3 번지,35.2217812,126.9738814
전주푸드 직매장(송천점),전라북도,전주시,덕진구 천마산로 130,35.8647271,127.1354095
용진농협 로컬푸드직매장 본점,전라북도,완주군,용진읍 완주로 187,35.8816792,127.1554892
