도,시군구,청명,위도,경도,상품명
전라남도,영암군,영암군청,34.80005911,126.6967626,"무화과, 영암도기, 영암어란, 월출전통메주, 금정토하젓, 달빛 무화과 쌀빵, 흑염소, 돼지고기, 녹색한우, 매력한우, 단감, 대봉감, 달마지쌀, 김장무ㆍ배추ㆍ알타리무, 월출산토마토, 영암배, 풋고추, 영암월출수박, 황토고구마"
전라남도,여수시,여수시청,34.76040106,127.6623313,"향토 지키미, 귀리다움 귀리, 섬섬여수 옥수수, 거북선에 실린 쌀, 토마토, 유자차, 두릅, 여수동백화장품, 기능성잡곡, 금오도잎방풍, 거문도해풍쑥, 돌산갓김치"
전라남도,무안군,무안군청,34.99034062,126.4817048,"연 관련 특산품, 무안갯벌 지주식 돌김, 무안고품질 쌀, 황토고구마, 황토마늘, 황토양파"
전라남도,보성군,보성군청,34.77144185,127.0799475,"용문석, 전통염색, 삼베, 웅기, 고추, 오이, 감자, 쪽파, 방울토마토, 딸기, 사과, 참다래, 배, 웅치면올벼쌀, 건강미, 다향이숨쉬는쌀, 녹차미인보성쌀, 복분자, 삼백초, 어성초, 녹돈, 보성한우, 전어, 꼬막, 표고버섯, 느타리버섯, 녹차판매처, 녹차, 녹차한과, 녹차된장/고추장"
전라남도,완도군,완도군청,34.31097892,126.7549987,"딸기, 비파, 감자, 방울토마토, 삼지구엽초, 유자, 부지화, 포도, 마늘, 쌀"
전라남도,해남군,해남군청,34.57390814,126.5996442,"겨울배추, 황토고구마, 해남김, 땅끝햇살"
전라남도,구례군,구례군청,35.20249636,127.4627036,"단감, 송이버섯, 은어, 고로쇠약수, 배, 토종꿀, 산채류, 오이, 밤, 쌀"
전라남도,나주시,나주시청,35.01589769,126.7108293,"참외, 한라봉, 방울토마토, 멜론, 나주쌀, 나주배"
경상북도,영양군,영양군청,36.66670286,129.1125102,"영양 산나물, 영양 고추"
경상북도,문경시,문경시청,36.58652737,128.1867719,"산초, 생명이(산나물), 산양삼, 오감만족, 오미로제, 호산춘, 오미자막걸리, 액상차, 작두콩,여주,자색돼지감자,야관문차, 국화차, 민들레김치, 민들레차, 메주, 된장, 간장, 한과, 양파, 양파즙, 문경약돌구운소금, 사과가공식품, 오미자김, 단무지, 문경새재 옛날찹쌀떡, 문경새재 오미자빵, 오미자 찰보리빵, 약돌돼지, 문경약돌한우, 산나물, 건나물, 미나리, 토마토, 문경곶감, 문경꿀, 느타리버섯, 새송이버섯, 표고버섯, 잡곡류, 새재의 아침쌀, 새재청결미, 문경약돌쌀, 희양산우렁쌀, 복숭아, 쌍샘배, 오미자, 문경사과, 짚공예"
